Sembol
AEFES.IS
AGHOL.IS
AHGAZ.IS
AKBNK.IS
AKCNS.IS
AKFYE.IS
AKSA.IS
AKSEN.IS
ALARK.IS
ALBRK.IS
ARCLK.IS
ASELS.IS
ASTOR.IS
AYDEM.IS
AYGAZ.IS
BAGFS.IS
BERA.IS
BIMAS.IS
BIOEN.IS
BRSAN.IS
BUCIM.IS
CANTE.IS
CCOLA.IS
CIMSA.IS
CWENE.IS
DOAS.IS
DOBUR.IS
DOHOL.IS
ECILC.IS
ECZYT.IS
EGEEN.IS
EKSUN.IS
ENJSA.IS
ENKAI.IS
ERCB.IS
EREGL.IS
EUREN.IS
FROTO.IS
GESAN.IS
GUBRF.IS
GWIND.IS
HEKTS.IS
HKTM.IS
IPEKE.IS
ISCTR.IS
ISDMR.IS
ISMEN.IS
IZENR.IS
KARSN.IS
KCHOL.IS
KMPUR.IS
KONTR.IS
KORDS.IS
KOZAA.IS
KOZAL.IS
KRDMD.IS
KRONT.IS
MAVI.IS
MGROS.IS
MIATK.IS
ODAS.IS
OTKAR.IS
OYAKC.IS
PENTA.IS
PETKM.IS
PGSUS.IS
QUAGR.IS
RALYH.IS
SAHOL.IS
SASA.IS
SAYAS.IS
SHEL.IS
SISE.IS
SKBNK.IS
SMRTG.IS
SNGYO.IS
TAVHL.IS
TCELL.IS
THYAO.IS
TKFEN.IS
TKNSA.IS
TMSN.IS
TOASO.IS
TRILC.IS
TSKB.IS
TTRAK.IS
TUKAS.IS
TUPRS.IS
TURSG.IS
ULKER.IS
ULUUN.IS
VAKBN.IS
VESTL.IS
VESBE.IS
YEOTK.IS
YKBNK.IS
ZOREN.IS
